MOBILE_NUMBER,SIM_NO,SIM_IMSI
5754004910443,8991490650002157955,404490652157955
5754004910435,8991490650002157947,404490652157947
5754004910434,8991490650002157946,404490652157946
5754004910306,8991490650002157818,404490652157818
5754004910445,8991490650002157957,404490652157957
5754004910439,8991490650002157951,404490652157951
5754004910298,8991490650002157810,404490652157810
5754004910440,8991490650002157952,404490652157952
5754004910296,8991490650002157808,404490652157808
5754004910310,8991490650002157822,404490652157822
5754004910442,8991490650002157954,404490652157954
5754004910307,8991490650002157819,404490652157819
5754004910450,8991490650002157962,404490652157962
5754004910308,8991490650002157820,404490652157820
5754004910436,8991490650002157948,404490652157948
5754004910311,8991490650002157823,404490652157823
5754004910448,8991490650002157960,404490652157960
5754004910315,8991490650002157827,404490652157827
5754004910117,8991490650002157629,404490652157629
5754004910463,8991490650002157975,404490652157975
5754004910244,8991490650002157756,404490652157756
5754004910387,8991490650002157899,404490652157899
5754004910507,8991490650002158019,404490652158019
5754004910359,8991490650002157871,404490652157871
5754004910429,8991490650002157941,404490652157941
5754004910344,8991490650002157856,404490652157856
5754004910243,8991490650002157755,404490652157755
5754004910227,8991490650002157739,404490652157739
5754004910343,8991490650002157855,404490652157855
5754004910249,8991490650002157761,404490652157761
5754004910212,8991490650002157724,404490652157724
5754004910291,8991490650002157803,404490652157803
5754004910390,8991490650002157902,404490652157902
5754004910279,8991490650002157791,404490652157791
5754004910402,8991490650002157914,404490652157914
5754004910303,8991490650002157815,404490652157815
5754004910259,8991490650002157771,404490652157771
5754004910484,8991490650002157996,404490652157996
5754004910258,8991490650002157770,404490652157770
5754004910270,8991490650002157782,404490652157782
5754004910247,8991490650002157759,404490652157759
5754004910348,8991490650002157860,404490652157860
5754004910229,8991490650002157741,404490652157741
5754004910158,8991490650002157670,404490652157670
5754004910112,8991490650002157624,404490652157624
5754004910475,8991490650002157987,404490652157987
5754004910132,8991490650002157644,404490652157644
5754004910208,8991490650002157720,404490652157720
5754004910202,8991490650002157714,404490652157714
5754004910274,8991490650002157786,404490652157786
5754004910157,8991490650002157669,404490652157669
5754004910152,8991490650002157664,404490652157664
5754004910504,8991490650002158016,404490652158016
5754004910287,8991490650002157799,404490652157799
5754004910322,8991490650002157834,404490652157834
5754004910467,8991490650002157979,404490652157979
5754004910403,8991490650002157915,404490652157915
5754004910241,8991490650002157753,404490652157753
5754004910236,8991490650002157748,404490652157748
5754004910276,8991490650002157788,404490652157788
5754004910385,8991490650002157897,404490652157897
5754004910383,8991490650002157895,404490652157895
5754004910197,8991490650002157709,404490652157709
5754004910204,8991490650002157716,404490652157716
5754004910113,8991490650002157625,404490652157625
5754004910278,8991490650002157790,404490652157790
5754004910255,8991490650002157767,404490652157767
5754004910235,8991490650002157747,404490652157747
5754004910198,8991490650002157710,404490652157710
5754004910186,8991490650002157698,404490652157698
5754004910139,8991490650002157651,404490652157651
5754004910461,8991490650002157973,404490652157973
5754004910178,8991490650002157690,404490652157690
5754004910337,8991490650002157849,404490652157849
5754004910497,8991490650002158009,404490652158009
5754004910424,8991490650002157936,404490652157936
5754004910214,8991490650002157726,404490652157726
5754004910118,8991490650002157630,404490652157630
5754004910142,8991490650002157654,404490652157654
5754004910375,8991490650002157887,404490652157887
5754004910147,8991490650002157659,404490652157659
5754004910352,8991490650002157864,404490652157864
5754004910356,8991490650002157868,404490652157868
5754004910418,8991490650002157930,404490652157930
5754004910140,8991490650002157652,404490652157652
5754004910333,8991490650002157845,404490652157845
5754004910361,8991490650002157873,404490652157873
5754004910394,8991490650002157906,404490652157906
5754004910365,8991490650002157877,404490652157877
5754004910220,8991490650002157732,404490652157732
5754004910468,8991490650002157980,404490652157980
5754004910471,8991490650002157983,404490652157983
5754004910134,8991490650002157646,404490652157646
5754004910292,8991490650002157804,404490652157804
5754004910165,8991490650002157677,404490652157677
5754004910319,8991490650002157831,404490652157831
5754004910144,8991490650002157656,404490652157656
5754004910239,8991490650002157751,404490652157751
5754004910464,8991490650002157976,404490652157976
5754004910491,8991490650002158003,404490652158003
5754004910472,8991490650002157984,404490652157984
5754004910485,8991490650002157997,404490652157997
5754004910374,8991490650002157886,404490652157886
5754004910476,8991490650002157988,404490652157988
5754004910410,8991490650002157922,404490652157922
5754004910146,8991490650002157658,404490652157658
5754004910347,8991490650002157859,404490652157859
5754004910351,8991490650002157863,404490652157863
5754004910426,8991490650002157938,404490652157938
5754004910133,8991490650002157645,404490652157645
5754004910378,8991490650002157890,404490652157890
5754004910488,8991490650002158000,404490652158000
5754004910121,8991490650002157633,404490652157633
5754004910174,8991490650002157686,404490652157686
5754004910196,8991490650002157708,404490652157708
5754004910190,8991490650002157702,404490652157702
5754004910184,8991490650002157696,404490652157696
5754004910388,8991490650002157900,404490652157900
5754004910417,8991490650002157929,404490652157929
5754004910130,8991490650002157642,404490652157642
5754004910143,8991490650002157655,404490652157655
5754004910167,8991490650002157679,404490652157679
5754004910455,8991490650002157967,404490652157967
5754004910498,8991490650002158010,404490652158010
5754004910364,8991490650002157876,404490652157876
5754004910499,8991490650002158011,404490652158011
5754004910465,8991490650002157977,404490652157977
5754004910318,8991490650002157830,404490652157830
5754004910119,8991490650002157631,404490652157631
5754004910329,8991490650002157841,404490652157841
5754004910495,8991490650002158007,404490652158007
5754004910280,8991490650002157792,404490652157792
5754004910294,8991490650002157806,404490652157806
5754004910182,8991490650002157694,404490652157694
5754004910264,8991490650002157776,404490652157776
5754004910409,8991490650002157921,404490652157921
5754004910433,8991490650002157945,404490652157945
5754004910179,8991490650002157691,404490652157691
5754004910290,8991490650002157802,404490652157802
5754004910393,8991490650002157905,404490652157905
5754004910494,8991490650002158006,404490652158006
5754004910169,8991490650002157681,404490652157681
5754004910454,8991490650002157966,404490652157966
5754004910373,8991490650002157885,404490652157885
5754004910353,8991490650002157865,404490652157865
5754004910423,8991490650002157935,404490652157935
5754004910481,8991490650002157993,404490652157993
5754004910349,8991490650002157861,404490652157861
5754004910358,8991490650002157870,404490652157870
5754004910502,8991490650002158014,404490652158014
5754004910160,8991490650002157672,404490652157672
5754004910129,8991490650002157641,404490652157641
5754004910482,8991490650002157994,404490652157994
5754004910268,8991490650002157780,404490652157780
5754004910181,8991490650002157693,404490652157693
5754004910400,8991490650002157912,404490652157912
5754004910314,8991490650002157826,404490652157826
5754004910295,8991490650002157807,404490652157807
5754004910419,8991490650002157931,404490652157931
5754004910346,8991490650002157858,404490652157858
5754004910194,8991490650002157706,404490652157706
5754004910317,8991490650002157829,404490652157829
5754004910180,8991490650002157692,404490652157692
5754004910176,8991490650002157688,404490652157688
5754004910156,8991490650002157668,404490652157668
5754004910480,8991490650002157992,404490652157992
5754004910123,8991490650002157635,404490652157635
5754004910384,8991490650002157896,404490652157896
5754004910313,8991490650002157825,404490652157825
5754004910275,8991490650002157787,404490652157787
5754004910503,8991490650002158015,404490652158015
5754004910326,8991490650002157838,404490652157838
5754004910149,8991490650002157661,404490652157661
5754004910162,8991490650002157674,404490652157674
5754004910321,8991490650002157833,404490652157833
5754004910168,8991490650002157680,404490652157680
5754004910370,8991490650002157882,404490652157882
5754004910342,8991490650002157854,404490652157854
5754004910109,8991490650002157621,404490652157621
5754004910253,8991490650002157765,404490652157765
5754004910376,8991490650002157888,404490652157888
5754004910323,8991490650002157835,404490652157835
5754004910127,8991490650002157639,404490652157639
5754004910505,8991490650002158017,404490652158017
5754004910245,8991490650002157757,404490652157757
5754004910327,8991490650002157839,404490652157839
5754004910211,8991490650002157723,404490652157723
5754004910242,8991490650002157754,404490652157754
5754004910338,8991490650002157850,404490652157850
5754004910115,8991490650002157627,404490652157627
5754004910195,8991490650002157707,404490652157707
5754004910225,8991490650002157737,404490652157737
5754004910251,8991490650002157763,404490652157763
5754004910479,8991490650002157991,404490652157991
5754004910490,8991490650002158002,404490652158002
5754004910192,8991490650002157704,404490652157704
5754004910332,8991490650002157844,404490652157844
5754004910293,8991490650002157805,404490652157805
5754004910405,8991490650002157917,404490652157917
5754004910250,8991490650002157762,404490652157762
5754004910207,8991490650002157719,404490652157719
5754004910222,8991490650002157734,404490652157734
5754004910124,8991490650002157636,404490652157636
5754004910330,8991490650002157842,404490652157842
5754004910367,8991490650002157879,404490652157879
5754004910128,8991490650002157640,404490652157640
5754004910286,8991490650002157798,404490652157798
5754004910120,8991490650002157632,404490652157632
5754004910217,8991490650002157729,404490652157729
5754004910334,8991490650002157846,404490652157846
5754004910137,8991490650002157649,404490652157649
5754004910257,8991490650002157769,404490652157769
5754004910172,8991490650002157684,404490652157684
5754004910401,8991490650002157913,404490652157913
5754004910413,8991490650002157925,404490652157925
5754004910284,8991490650002157796,404490652157796
5754004910265,8991490650002157777,404490652157777
5754004910201,8991490650002157713,404490652157713
5754004910336,8991490650002157848,404490652157848
5754004910256,8991490650002157768,404490652157768
5754004910164,8991490650002157676,404490652157676
5754004910175,8991490650002157687,404490652157687
5754004910363,8991490650002157875,404490652157875
5754004910219,8991490650002157731,404490652157731
5754004910288,8991490650002157800,404490652157800
5754004910191,8991490650002157703,404490652157703
5754004910496,8991490650002158008,404490652158008
5754004910271,8991490650002157783,404490652157783
5754004910428,8991490650002157940,404490652157940
5754004910171,8991490650002157683,404490652157683
5754004910381,8991490650002157893,404490652157893
5754004910183,8991490650002157695,404490652157695
5754004910380,8991490650002157892,404490652157892
5754004910110,8991490650002157622,404490652157622
5754004910366,8991490650002157878,404490652157878
5754004910508,8991490650002158020,404490652158020
5754004910283,8991490650002157795,404490652157795
5754004910116,8991490650002157628,404490652157628
5754004910404,8991490650002157916,404490652157916
5754004910350,8991490650002157862,404490652157862
5754004910273,8991490650002157785,404490652157785
5754004910240,8991490650002157752,404490652157752
5754004910324,8991490650002157836,404490652157836
5754004910412,8991490650002157924,404490652157924
5754004910470,8991490650002157982,404490652157982
5754004910141,8991490650002157653,404490652157653
5754004910371,8991490650002157883,404490652157883
5754004910163,8991490650002157675,404490652157675
5754004910493,8991490650002158005,404490652158005
5754004910218,8991490650002157730,404490652157730
5754004910125,8991490650002157637,404490652157637
5754004910210,8991490650002157722,404490652157722
5754004910224,8991490650002157736,404490652157736
5754004910223,8991490650002157735,404490652157735
5754004910478,8991490650002157990,404490652157990
5754004910187,8991490650002157699,404490652157699
5754004910372,8991490650002157884,404490652157884
5754004910408,8991490650002157920,404490652157920
5754004910228,8991490650002157740,404490652157740
5754004910399,8991490650002157911,404490652157911
5754004910155,8991490650002157667,404490652157667
5754004910232,8991490650002157744,404490652157744
5754004910234,8991490650002157746,404490652157746
5754004910430,8991490650002157942,404490652157942
5754004910285,8991490650002157797,404490652157797
5754004910335,8991490650002157847,404490652157847
5754004910391,8991490650002157903,404490652157903
5754004910339,8991490650002157851,404490652157851
5754004910462,8991490650002157974,404490652157974
5754004910328,8991490650002157840,404490652157840
5754004910459,8991490650002157971,404490652157971
5754004910262,8991490650002157774,404490652157774
5754004910237,8991490650002157749,404490652157749
5754004910483,8991490650002157995,404490652157995
5754004910215,8991490650002157727,404490652157727
5754004910136,8991490650002157648,404490652157648
5754004910368,8991490650002157880,404490652157880
5754004910398,8991490650002157910,404490652157910
5754004910427,8991490650002157939,404490652157939
5754004910316,8991490650002157828,404490652157828
5754004910188,8991490650002157700,404490652157700
5754004910261,8991490650002157773,404490652157773
5754004910289,8991490650002157801,404490652157801
5754004910341,8991490650002157853,404490652157853
5754004910460,8991490650002157972,404490652157972
5754004910395,8991490650002157907,404490652157907
5754004910153,8991490650002157665,404490652157665
5754004910489,8991490650002158001,404490652158001
5754004910131,8991490650002157643,404490652157643
5754004910111,8991490650002157623,404490652157623
5754004910474,8991490650002157986,404490652157986
5754004910170,8991490650002157682,404490652157682
5754004910272,8991490650002157784,404490652157784
5754004910415,8991490650002157927,404490652157927
5754004910200,8991490650002157712,404490652157712
5754004910431,8991490650002157943,404490652157943
5754004910452,8991490650002157964,404490652157964
5754004910177,8991490650002157689,404490652157689
5754004910362,8991490650002157874,404490652157874
5754004910269,8991490650002157781,404490652157781
5754004910193,8991490650002157705,404490652157705
5754004910209,8991490650002157721,404490652157721
5754004910453,8991490650002157965,404490652157965
5754004910392,8991490650002157904,404490652157904
5754004910432,8991490650002157944,404490652157944
5754004910282,8991490650002157794,404490652157794
5754004910266,8991490650002157778,404490652157778
5754004910277,8991490650002157789,404490652157789
5754004910263,8991490650002157775,404490652157775
5754004910340,8991490650002157852,404490652157852
5754004910216,8991490650002157728,404490652157728
5754004910421,8991490650002157933,404490652157933
5754004910360,8991490650002157872,404490652157872
5754004910226,8991490650002157738,404490652157738
5754004910154,8991490650002157666,404490652157666
5754004910425,8991490650002157937,404490652157937
5754004910325,8991490650002157837,404490652157837
5754004910145,8991490650002157657,404490652157657
5754004910254,8991490650002157766,404490652157766
5754004910422,8991490650002157934,404490652157934
5754004910456,8991490650002157968,404490652157968
5754004910238,8991490650002157750,404490652157750
5754004910500,8991490650002158012,404490652158012
5754004910189,8991490650002157701,404490652157701
5754004910148,8991490650002157660,404490652157660
5754004910138,8991490650002157650,404490652157650
5754004910267,8991490650002157779,404490652157779
5754004910469,8991490650002157981,404490652157981
5754004910205,8991490650002157717,404490652157717
5754004910457,8991490650002157969,404490652157969
5754004910213,8991490650002157725,404490652157725
5754004910206,8991490650002157718,404490652157718
5754004910231,8991490650002157743,404490652157743
5754004910159,8991490650002157671,404490652157671
5754004910397,8991490650002157909,404490652157909
5754004910477,8991490650002157989,404490652157989
5754004910473,8991490650002157985,404490652157985
5754004910260,8991490650002157772,404490652157772
5754004910345,8991490650002157857,404490652157857
5754004910320,8991490650002157832,404490652157832
5754004910114,8991490650002157626,404490652157626
5754004910161,8991490650002157673,404490652157673
5754004910126,8991490650002157638,404490652157638
5754004910357,8991490650002157869,404490652157869
5754004910221,8991490650002157733,404490652157733
5754004910248,8991490650002157760,404490652157760
5754004910379,8991490650002157891,404490652157891
5754004910406,8991490650002157918,404490652157918
5754004910501,8991490650002158013,404490652158013
5754004910122,8991490650002157634,404490652157634
5754004910377,8991490650002157889,404490652157889
5754004910185,8991490650002157697,404490652157697
5754004910416,8991490650002157928,404490652157928
5754004910230,8991490650002157742,404490652157742
5754004910389,8991490650002157901,404490652157901
5754004910386,8991490650002157898,404490652157898
5754004910203,8991490650002157715,404490652157715
5754004910233,8991490650002157745,404490652157745
5754004910487,8991490650002157999,404490652157999
5754004910396,8991490650002157908,404490652157908
5754004910135,8991490650002157647,404490652157647
5754004910369,8991490650002157881,404490652157881
5754004910411,8991490650002157923,404490652157923
5754004910506,8991490650002158018,404490652158018
5754004910466,8991490650002157978,404490652157978
5754004910414,8991490650002157926,404490652157926
5754004910252,8991490650002157764,404490652157764
5754004910246,8991490650002157758,404490652157758
5754004910199,8991490650002157711,404490652157711
5754004910150,8991490650002157662,404490652157662
5754004910151,8991490650002157663,404490652157663
5754004910331,8991490650002157843,404490652157843
5754004910354,8991490650002157866,404490652157866
5754004910166,8991490650002157678,404490652157678
5754004910355,8991490650002157867,404490652157867
5754004910486,8991490650002157998,404490652157998
5754004910173,8991490650002157685,404490652157685
5754004910492,8991490650002158004,404490652158004
5754004910458,8991490650002157970,404490652157970
5754004910420,8991490650002157932,404490652157932
5754004910382,8991490650002157894,404490652157894
5754004910407,8991490650002157919,404490652157919
5754004910281,8991490650002157793,404490652157793
5754004910032,8991490650002157544,404490652157544
5754004910029,8991490650002157541,404490652157541
5754004910019,8991490650002157531,404490652157531
5754004910045,8991490650002157557,404490652157557
5754004910028,8991490650002157540,404490652157540
5754004910022,8991490650002157534,404490652157534
5754004910016,8991490650002157528,404490652157528
5754004910038,8991490650002157550,404490652157550
5754004910054,8991490650002157566,404490652157566
5754004910037,8991490650002157549,404490652157549
5754004910052,8991490650002157564,404490652157564
5754004910046,8991490650002157558,404490652157558
5754004910035,8991490650002157547,404490652157547
5754004910021,8991490650002157533,404490652157533
5754004910048,8991490650002157560,404490652157560
5754004910024,8991490650002157536,404490652157536
5754004910057,8991490650002157569,404490652157569
5754004910033,8991490650002157545,404490652157545
5754004910047,8991490650002157559,404490652157559
5754004910058,8991490650002157570,404490652157570
5754004910030,8991490650002157542,404490652157542
5754004910055,8991490650002157567,404490652157567
5754004910025,8991490650002157537,404490652157537
5754004910050,8991490650002157562,404490652157562
5754004910042,8991490650002157554,404490652157554
5754004910018,8991490650002157530,404490652157530
5754004910049,8991490650002157561,404490652157561
5754004910027,8991490650002157539,404490652157539
5754004910036,8991490650002157548,404490652157548
5754004910051,8991490650002157563,404490652157563
5754004910056,8991490650002157568,404490652157568
5754004910013,8991490650002157525,404490652157525
5754004910009,8991490650002157521,404490652157521
5754004910015,8991490650002157527,404490652157527
5754004910053,8991490650002157565,404490652157565
5754004910026,8991490650002157538,404490652157538
5754004910040,8991490650002157552,404490652157552
5754004910023,8991490650002157535,404490652157535
5754004910044,8991490650002157556,404490652157556
5754004910010,8991490650002157522,404490652157522
5754004910039,8991490650002157551,404490652157551
5754004910020,8991490650002157532,404490652157532
5754004910043,8991490650002157555,404490652157555
5754004910012,8991490650002157524,404490652157524
5754004910014,8991490650002157526,404490652157526
5754004910031,8991490650002157543,404490652157543
5754004910041,8991490650002157553,404490652157553
5754004910011,8991490650002157523,404490652157523
5754004910034,8991490650002157546,404490652157546
5754004910017,8991490650002157529,404490652157529
5754004910094,8991490650002157606,404490652157606
5754004910096,8991490650002157608,404490652157608
5754004910093,8991490650002157605,404490652157605
5754004910095,8991490650002157607,404490652157607
5754004910099,8991490650002157611,404490652157611
5754004910098,8991490650002157610,404490652157610
5754004910097,8991490650002157609,404490652157609
5754004910100,8991490650002157612,404490652157612
5754004910092,8991490650002157604,404490652157604
5754004910091,8991490650002157603,404490652157603
5754004910070,8991490650002157582,404490652157582
5754004910078,8991490650002157590,404490652157590
5754004910075,8991490650002157587,404490652157587
5754004910104,8991490650002157616,404490652157616
5754004910088,8991490650002157600,404490652157600
5754004910081,8991490650002157593,404490652157593
5754004910086,8991490650002157598,404490652157598
5754004910103,8991490650002157615,404490652157615
5754004910101,8991490650002157613,404490652157613
5754004910064,8991490650002157576,404490652157576
5754004910108,8991490650002157620,404490652157620
5754004910069,8991490650002157581,404490652157581
5754004910080,8991490650002157592,404490652157592
5754004910084,8991490650002157596,404490652157596
5754004910087,8991490650002157599,404490652157599
5754004910082,8991490650002157594,404490652157594
5754004910089,8991490650002157601,404490652157601
5754004910059,8991490650002157571,404490652157571
5754004910083,8991490650002157595,404490652157595
5754004910107,8991490650002157619,404490652157619
5754004910076,8991490650002157588,404490652157588
5754004910072,8991490650002157584,404490652157584
5754004910062,8991490650002157574,404490652157574
5754004910060,8991490650002157572,404490652157572
5754004910071,8991490650002157583,404490652157583
5754004910063,8991490650002157575,404490652157575
5754004910077,8991490650002157589,404490652157589
5754004910090,8991490650002157602,404490652157602
5754004910106,8991490650002157618,404490652157618
5754004910073,8991490650002157585,404490652157585
5754004910085,8991490650002157597,404490652157597
5754004910079,8991490650002157591,404490652157591
5754004910065,8991490650002157577,404490652157577
5754004910067,8991490650002157579,404490652157579
5754004910068,8991490650002157580,404490652157580
5754004910074,8991490650002157586,404490652157586
5754004910105,8991490650002157617,404490652157617
5754004910102,8991490650002157614,404490652157614
5754004910061,8991490650002157573,404490652157573
5754004910066,8991490650002157578,404490652157578
